Category,Title,Price,Link
Mobiles,"vivo Y19s 5G (4GB RAM, 128GB, Titanium Silver) | With Charger","₹13,499",https://www.croma.com/vivo-y19s-5g-4gb-ram-128gb-titanium-silver-with-charger/p/319528
Mobiles,"vivo Y19s 5G (4GB RAM, 128GB, Majestic Green) | With Charger","₹13,499",https://www.croma.com/vivo-y19s-5g-4gb-ram-128gb-majestic-green-with-charger/p/319530
Mobiles,"Google Pixel 9a 5G (8GB RAM, 256GB, Obsidian)","₹39,999",https://www.croma.com/google-pixel-9a-5g-8gb-ram-256gb-obsidian-/p/314881
Mobiles,"Apple iPhone 16e (128GB, Black)","₹52,390",https://www.croma.com/apple-iphone-16e-128gb-black-/p/310298
Mobiles,"Google Pixel 9a 5G (8GB RAM, 256GB, Porcelain)","₹39,999",https://www.croma.com/google-pixel-9a-5g-8gb-ram-256gb-porcelain-/p/314882
Mobiles,"Apple iPhone 16e (128GB, White)","₹52,390",https://www.croma.com/apple-iphone-16e-128gb-white-/p/310300
Mobiles,"Google Pixel 10 5G (12GB RAM, 256GB, Frost)","₹74,999",https://www.croma.com/google-pixel-10-5g-12gb-ram-256gb-frost-/p/318413
Mobiles,"OnePlus Nord CE5 5G (8GB RAM, 256GB, Nexus Blue)","₹26,999",https://www.croma.com/oneplus-nord-ce5-5g-8gb-ram-256gb-nexus-blue-/p/316550
Mobiles,"Apple iPhone 17 Pro (256GB, Silver)","₹1,34,900",https://www.croma.com/apple-iphone-17-pro-256gb-silver-/p/317415
Mobiles,"Google Pixel 10 5G (12GB RAM, 256GB, Indigo)","₹74,999",https://www.croma.com/google-pixel-10-5g-12gb-ram-256gb-indigo-/p/318397
Mobiles,"Nothing Watch Pro 2 Smartwatch with Bluetooth Calling (33.52mm AMOLED Display, IP68 Water Resistant, Dark Grey Strap)","₹4,499",https://www.croma.com/nothing-watch-pro-2-smartwatch-with-bluetooth-calling-33-52mm-amoled-display-ip68-water-resistant-dark-grey-strap-/p/308373
Mobiles,"Google Pixel 10 5G (12GB RAM, 256GB, Obsidian)","₹74,999",https://www.croma.com/google-pixel-10-5g-12gb-ram-256gb-obsidian-/p/318407
Mobiles,"vivo X300 5G (12GB RAM, 256GB, Summit Red)","₹75,999",https://www.croma.com/vivo-x300-5g-12gb-ram-256gb-summit-red-/p/319748
Mobiles,"Apple iPhone 16e (256GB, Black)","₹61,790",https://www.croma.com/apple-iphone-16e-256gb-black-/p/310301
Mobiles,"Google Pixel Watch 4 Wi-Fi+Bluetooth Wear OS 6.0 Smartwatch (41mm AMOLED LTPO Display, Qualcomm Snapdragon W5 Gen 2 Cortex-M55, Health Tracking Insights, Obsidian Active Band)","₹39,900",https://www.croma.com/google-pixel-watch-4-wi-fi+bluetooth-wear-os-6-0-smartwatch-41mm-amoled-ltpo-display-qualcomm-snapdragon-w5-gen-2-cortex-m55-health-tracking-insights-obsidian-active-band-/p/319511
Mobiles,"Apple iPhone 16e (256GB, White)","₹61,790",https://www.croma.com/apple-iphone-16e-256gb-white-/p/310302
